INSURANCE_FLAG,DTI,SEX,FULL_AGE_CHILD_NUMBER,DEPENDANT_NUMBER,EDUCATION,EMPL_SIZE,BANKACCOUNT_FLAG,Period_at_work,age,max90days,max60days,max30days,max21days,max14days,avg_num_delay,if_zalog,num_AccountActive180,num_AccountActive90,num_AccountActive60,Active_to_All_prc,numAccountActiveAll,numAccountClosed,sum_of_paym_months,all_credits,Active_not_cc,own_closed,min_MnthAfterLoan,max_MnthAfterLoan,dlq_exist,thirty_in_a_year,sixty_in_a_year,ninety_in_a_year,thirty_vintage,sixty_vintage,ninety_vintage,FAMILY_STATUS_вдовец / вдова,FAMILY_STATUS_гражданский брак,FAMILY_STATUS_женат / замужем,FAMILY_STATUS_повторный брак,FAMILY_STATUS_разведен / разведена,FAMILY_STATUS_холост / не замужем,INCOME_BASE_TYPE_2НДФЛ,INCOME_BASE_TYPE_Поступление зарплаты на счет,INCOME_BASE_TYPE_Свободная форма с печатью работодателя,INCOME_BASE_TYPE_Форма банка (без печати работодателя),CREDIT_PURPOSE_Другое,CREDIT_PURPOSE_Лечение,CREDIT_PURPOSE_Обучение,CREDIT_PURPOSE_Отпуск,CREDIT_PURPOSE_Покупка автомобиля,CREDIT_PURPOSE_Покупка бытовой техники,CREDIT_PURPOSE_Покупка земли,CREDIT_PURPOSE_Покупка мебели,CREDIT_PURPOSE_Покупка недвижимости/ строительство,CREDIT_PURPOSE_Ремонт,EMPL_TYPE_вспомогательный персонал,EMPL_TYPE_менеджер высшего звена,EMPL_TYPE_менеджер по продажам,EMPL_TYPE_менеджер среднего звена,EMPL_TYPE_рабочий,EMPL_TYPE_специалист,EMPL_TYPE_торговый представитель,EMPL_PROPERTY_Другое,EMPL_PROPERTY_Информационные технологии,EMPL_PROPERTY_Сельское и лесное хозяйство,EMPL_PROPERTY_Торговля,EMPL_PROPERTY_Юридические услуги,EMPL_FORM_Государственное предприятие,EMPL_FORM_ЗАО,EMPL_FORM_Иная форма,EMPL_FORM_Индивидуальный предприниматель,EMPL_FORM_ОАО,EMPL_FORM_ООО,CLUSTER
1,0.7999999999999998,0,0.0,0.0,2.0,1,0.0,0.15517241379310345,-0.3076923076923077,-0.5,-0.5,0.0,0.0,0.0,9.605745169329479,0.0,1.0,0.0,0.0,0.7619047619999999,0.0,-0.5,-0.42168674698795183,-0.4,0.0,1.0,-0.46153846153846156,0.6730769230769231,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
0,-0.6,0,2.0,0.0,-3.0,1,0.0,0.20689655172413793,-0.23076923076923078,-0.5,-0.5,0.0,0.0,0.0,0.5148333687597363,0.0,0.0,0.0,0.0,-1.142857142857143,-1.0,-0.5,-0.5542168674698795,-0.8,-0.5,1.0,1.8461538461538463,-0.6538461538461539,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,4
0,-0.6,1,2.0,0.0,2.0,1,0.0,-0.46551724137931033,-0.46153846153846156,0.0,0.0,1.0,0.0,0.0,1.0045135590777903,0.0,2.0,0.0,0.0,-0.2857142857142858,0.5,1.0,0.46987951807228917,1.0,0.5,0.0,-0.3076923076923077,0.34615384615384615,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,6
1,0.3,0,2.0,0.0,0.0,0,0.0,-0.25862068965517243,0.15384615384615385,-0.5,-0.5,0.0,0.0,0.0,0.1252192605607991,0.0,0.0,0.0,0.0,-0.42857142857142866,-0.5,0.0,0.20481927710843373,-0.2,-0.5,1.0,1.7692307692307692,0.038461538461538464,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
0,0.15000000000000013,1,0.0,0.0,0.0,1,2.0,0.25862068965517243,-0.38461538461538464,0.5,0.0,1.0,1.0,1.0,-0.20378820806915948,0.0,0.0,0.0,0.0,1.238095238,1.5,-0.5,-0.024096385542168676,0.2,1.0,0.0,-0.15384615384615385,-0.6153846153846154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,7
1,-0.6499999999999997,0,0.0,0.0,2.0,1,0.0,-0.5517241379310345,0.07692307692307693,1.5,1.0,1.0,0.0,0.0,0.714114983924953,0.0,0.0,0.0,0.0,0.28571428571428564,0.0,-0.25,0.5662650602409639,-0.2,-0.5,1.0,0.5384615384615384,0.7115384615384616,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,6
1,0.8999999999999999,0,0.0,0.0,0.0,0,0.0,-0.29310344827586204,-0.6153846153846154,1.0,-0.5,0.0,0.0,0.0,-0.20378820806915948,0.0,0.0,0.0,0.0,-0.7857142857142858,-0.5,1.0,0.26506024096385544,0.6,0.0,1.0,-0.46153846153846156,-0.21153846153846154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3
1,-0.7999999999999998,0,0.0,0.0,-3.0,0,0.0,0.39655172413793105,0.3076923076923077,5.5,4.5,2.0,2.0,1.0,-0.20378820806915948,0.0,2.0,1.0,0.0,1.7142857142857144,0.5,-0.75,-0.6987951807228916,-0.4,0.0,0.0,-0.5384615384615384,-1.1538461538461537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,5
1,0.4500000000000001,1,0.0,0.0,-2.0,1,0.0,1.293103448275862,1.0,0.0,-0.5,0.0,0.0,0.0,-0.20378820806915948,0.0,0.0,0.0,0.0,-1.142857142857143,-1.0,-0.25,-0.6385542168674698,-0.6,-0.5,0.0,5.769230769230769,0.4807692307692308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
0,-0.3999999999999998,0,0.0,0.0,2.0,1,0.0,0.1206896551724138,-0.46153846153846156,0.5,-0.5,0.0,0.0,0.0,0.11874273555013978,0.0,1.0,1.0,0.0,-0.0714285714285715,0.5,0.5,0.7228915662650602,0.6,0.0,2.0,-0.5384615384615384,-0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,6
