INCOME_BASE_TYPE,CREDIT_PURPOSE,INSURANCE_FLAG,DTI,SEX,FULL_AGE_CHILD_NUMBER,DEPENDANT_NUMBER,EDUCATION,EMPL_TYPE,EMPL_SIZE,BANKACCOUNT_FLAG,Period_at_work,age,EMPL_PROPERTY,EMPL_FORM,FAMILY_STATUS,max90days,max60days,max30days,max21days,max14days,avg_num_delay,if_zalog,num_AccountActive180,num_AccountActive90,num_AccountActive60,Active_to_All_prc,numAccountActiveAll,numAccountClosed,sum_of_paym_months,all_credits,Active_not_cc,own_closed,min_MnthAfterLoan,max_MnthAfterLoan,dlq_exist,thirty_in_a_year,sixty_in_a_year,ninety_in_a_year,thirty_vintage,sixty_vintage,ninety_vintage
Форма банка (без печати работодателя),Ремонт,1,0.11,мужской,2,0,среднее,специалист,>250,0.0,58.0,39.0,Другое,ООО,женат / замужем,1.0,0.0,0.0,0.0,0.0,0.5467625899,0.0,0.0,0.0,0.0,0.1666666667,3.0,3.0,63.0,6.0,2.0,0.0,31.0,85.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Форма банка (без печати работодателя),Покупка недвижимости/ строительство,0,0.41,женский,0,0,высшее,специалист,>250,0.0,58.0,29.0,Торговля,ООО,разведен / разведена,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,20.0,2.0,1.0,0.0,17.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2НДФЛ,Покупка автомобиля,1,0.59,женский,0,0,высшее,специалист,>250,0.0,54.0,39.0,Другое,Государственное предприятие,женат / замужем,0.0,0.0,0.0,0.0,0.0,0.0131578947,1.0,0.0,0.0,0.0,0.3333333333,2.0,4.0,75.0,6.0,1.0,1.0,3.0,43.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2НДФЛ,Ремонт,0,0.47,мужской,0,0,высшее,менеджер среднего звена,>250,0.0,82.0,33.0,Торговля,ООО,женат / замужем,5.0,5.0,3.0,2.0,2.0,0.0058479532,1.0,0.0,0.0,0.0,0.2307692308,3.0,10.0,170.0,13.0,2.0,1.0,9.0,97.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Свободная форма с печатью работодателя,Покупка автомобиля,0,0.21,мужской,1,0,высшее,менеджер среднего звена,<50,0.0,23.0,34.0,Торговля,ООО,женат / замужем,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3333333333,1.0,2.0,135.0,3.0,0.0,1.0,38.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Форма банка (без печати работодателя),Ремонт,1,0.14,женский,0,0,высшее,вспомогательный персонал,>250,0.0,16.0,29.0,Торговля,ООО,холост / не замужем,2.0,1.0,0.0,0.0,0.0,0.0956521739,1.0,1.0,1.0,0.0,0.25,3.0,5.0,104.0,8.0,2.0,3.0,2.0,84.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
2НДФЛ,Ремонт,0,0.48,мужской,1,0,высшее,менеджер по продажам,>250,0.0,20.0,44.0,Торговля,ООО,женат / замужем,3.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.8,4.0,1.0,99.0,5.0,2.0,1.0,6.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Форма банка (без печати работодателя),Ремонт,1,0.08,женский,1,0,Высшее/Второе высшее/Ученая степень,вспомогательный персонал,<50,0.0,37.0,39.0,Торговля,Индивидуальный предприниматель,холост / не замужем,0.0,0.0,0.0,0.0,0.0,0.2272727273,0.0,0.0,0.0,0.0,0.5,2.0,2.0,85.0,4.0,1.0,1.0,18.0,92.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Форма банка (без печати работодателя),Ремонт,1,0.18,женский,1,0,высшее,специалист,>250,0.0,14.0,33.0,Торговля,ООО,женат / замужем,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,43.0,1.0,1.0,0.0,42.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Форма банка (без печати работодателя),Ремонт,0,0.14,женский,1,0,Высшее/Второе высшее/Ученая степень,менеджер среднего звена,>250,0.0,28.0,28.0,Торговля,ООО,женат / замужем,3.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.6666666667,2.0,1.0,33.0,3.0,0.0,1.0,16.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
